time,open,high,low,close,tick_volume,spread
2016-05-09 00:00:00,9.37,9.43,9.28,9.34,28,0
2016-05-10 00:00:00,9.34,9.99,9.32,9.92,77,0
2016-05-11 00:00:00,9.92,10.31,9.81,10.12,81,0
2016-05-12 00:00:00,10.12,11.0,9.91,10.27,204,0
2016-05-13 00:00:00,10.27,10.39,10.23,10.24,30,0
2016-05-15 00:00:00,9.95,11.46,9.87,11.29,185,0
2016-05-16 00:00:00,11.29,12.53,10.96,11.8,264,0
2016-05-17 00:00:00,11.8,14.0,11.79,12.54,369,0
2016-05-18 00:00:00,12.54,14.24,12.5,14.15,188,0
2016-05-19 00:00:00,14.15,14.79,13.32,13.63,243,0
2016-05-20 00:00:00,13.63,13.87,13.61,13.84,32,0
2016-05-22 00:00:00,14.19,14.24,13.45,13.8,120,0
2016-05-23 00:00:00,13.8,13.8,11.88,12.46,251,0
2016-05-24 00:00:00,12.46,12.86,12.17,12.17,110,0
2016-05-25 00:00:00,12.17,12.17,12.17,12.17,1,0
2016-05-26 00:00:00,12.17,12.17,12.17,12.17,1,0
2016-05-27 00:00:00,12.17,12.17,12.17,12.17,1,0
2016-05-29 00:00:00,12.28,12.52,12.0,12.31,102,0
2016-05-30 00:00:00,12.31,12.31,12.31,12.31,1,0
2016-05-31 00:00:00,12.31,12.31,12.31,12.31,1,0
2016-06-01 00:00:00,12.31,12.31,12.31,12.31,1,0
2016-06-02 00:00:00,12.31,12.31,12.31,12.31,1,0
2016-06-03 00:00:00,12.31,12.31,12.31,12.31,1,0
2016-06-05 00:00:00,13.85,14.01,13.65,13.77,65,0
2016-06-06 00:00:00,13.77,14.5,13.77,14.21,103,0
2016-06-07 00:00:00,14.21,14.75,14.13,14.46,100,0
2016-06-08 00:00:00,14.46,14.52,14.14,14.41,72,0
2016-06-09 00:00:00,14.41,14.48,14.11,14.14,48,0
2016-06-10 00:00:00,14.14,14.14,14.14,14.14,1,0
2016-06-12 00:00:00,14.86,17.16,14.8,16.82,277,0
2016-06-13 00:00:00,16.82,18.89,15.11,17.9,649,0
2016-06-14 00:00:00,17.9,18.6,17.22,18.13,254,0
2016-06-15 00:00:00,18.13,20.87,17.82,20.5,374,0
2016-06-16 00:00:00,20.5,21.4,12.98,13.86,1021,0
2016-06-17 00:00:00,13.86,15.1,13.8,14.76,171,0
2016-06-19 00:00:00,12.1,12.73,10.5,11.87,424,0
2016-06-20 00:00:00,11.87,12.8,10.6,12.15,413,0
2016-06-21 00:00:00,12.15,15.84,12.07,13.84,586,0
2016-06-22 00:00:00,13.83,13.88,12.6,13.46,220,0
2016-06-23 00:00:00,13.46,14.55,13.3,14.22,175,0
2016-06-24 00:00:00,14.22,14.22,14.06,14.1,21,0
